watershed,FR_channel_area_of_length_modeled_acres
American River,670.2
Antelope Creek,198.6
Battle Creek,52.4
Bear Creek,29.6
Bear River,75.63
Big Chico Creek,51.61
Butte Creek,103.4
Calaveras River,75
Clear Creek,57.4
Cosumnes River,448.1
Cottonwood Creek,251.1
Cow Creek,217.5
Deer Creek,58.7
Elder Creek,24.3
Feather River,2363.2
Merced River,405.5
Mill Creek,119.9
Mokelumne River,241.2
Paynes Creek,29.6
San Joaquin River,534.2
Stanislaus River,409.1
Stony Creek,203.5
Thomes Creek,192.3
Tuolumne River,586.2
Yuba River,446.2
Upper Sacramento River,2524.9
Upper-mid Sacramento River,5698.8
Lower-mid Sacramento River,2223.5
Lower Sacramento River,625.7
Sutter Bypass,NA
Yolo Bypass,NA
